"ADMINID","ENRORGID","PERMNUMBER","GRADE","GRADEBEGIN","GRADEEND","SY"
"SU021","PS187","1233625","08","09/08/2020","","2021"
"SU021","PS187","1233631","08","09/08/2020","","2021"
"SU021","PS187","1233686","08","09/08/2020","","2021"
"SU021","PS187","1233707","07","09/08/2020","","2021"
"SU021","PS187","1233764","11","09/08/2020","","2021"
"SU021","PS187","1233771","08","09/08/2020","","2021"
"SU021","PS187","1233790","07","09/08/2020","11/04/2020","2021"
"SU021","PS187","1233827","10","09/08/2020","","2021"
"SU021","PS187","1233856","11","09/08/2020","","2021"
"SU021","PS187","1233870","09","09/08/2020","","2021"
"SU021","PS187","1234136","10","09/08/2020","","2021"
"SU021","PS187","1234177","11","09/08/2020","","2021"
"SU021","PS187","1234449","11","09/08/2020","","2021"
"SU021","PS187","1234529","11","09/08/2020","","2021"
"SU021","PS187","1239735","12","09/08/2020","09/09/2020","2021"
"SU021","PS187","1239844","12","09/08/2020","","2021"
"SU021","PS187","1239845","12","09/08/2020","","2021"
"SU021","PS187","1239862","12","09/08/2020","","2021"
"SU021","PS187","1239863","11","09/08/2020","","2021"
"SU021","PS187","1239865","12","09/08/2020","","2021"
"SU021","PS187","1239866","12","09/08/2020","","2021"
"SU021","PS187","1239867","12","09/08/2020","","2021"
"SU021","PS187","1239869","12","09/08/2020","","2021"
"SU021","PS187","1239871","12","09/08/2020","","2021"
"SU021","PS187","1239872","12","09/08/2020","","2021"
"SU021","PS187","1239874","12","09/08/2020","","2021"
"SU021","PS187","1239875","12","09/08/2020","01/25/2021","2021"
"SU021","PS187","1239876","12","09/08/2020","","2021"
"SU021","PS187","1239877","12","09/08/2020","","2021"
"SU021","PS187","1239878","12","09/08/2020","","2021"
"SU021","PS187","1239879","12","09/08/2020","","2021"
"SU021","PS187","1239882","11","09/08/2020","","2021"
"SU021","PS187","1239883","12","09/08/2020","","2021"
"SU021","PS187","1239884","12","09/08/2020","","2021"
"SU021","PS187","1239885","12","09/08/2020","","2021"
"SU021","PS187","1239886","11","09/08/2020","","2021"
"SU021","PS187","1240001","12","09/08/2020","","2021"
"SU021","PS187","1240002","12","09/08/2020","","2021"
"SU021","PS187","1240003","12","09/08/2020","","2021"
